"('Aircraft', 'Combat Aircraft(580)')","('Origin', 'Combat Aircraft(580)')","('Type', 'Combat Aircraft(580)')","('Variant', 'Combat Aircraft(580)')","('In service', 'Combat Aircraft(580)')","('Notes', 'Combat Aircraft(580)')",Aircraft,Photo,Origin,Role,Version,Number,Notes,Comment,"('Aircraft', 'Combat Aircraft')","('Origin', 'Combat Aircraft')","('Type', 'Combat Aircraft')","('Variant', 'Combat Aircraft')","('In service', 'Combat Aircraft')","('Notes', 'Combat Aircraft')","('Aircraft', 'Maritime patrol')","('Origin', 'Maritime patrol')","('Type', 'Maritime patrol')","('Variant', 'Maritime patrol')","('In service', 'Maritime patrol')","('Notes', 'Maritime patrol')"
IAI Heron,Israel,Surveillance,Mk 2,4,[41][42] 2 on order[43],,,,,,,,,,,,,,,,,,,,
IAI Searcher,Israel,Surveillance,Mk 1/2,,[44],,,,,,,,,,,,,,,,,,,,
MQ-9 Reaper,United States,Surveillance/ Combat,SkyGuardian,0,8 on order[45],,,,,,,,,,,,,,,,,,,,
ALS-50,India,loitering munition,,100[46],,,,,,,,,,,,,,,,,,,,,
Kadet Loitering Aerial Munition,India,loitering munition,,50+ on order,Developed by DRDO and KDS Multiple variants; Weight - 15 to 120 kg; Warhead - 2 to 40 kg; Max. Endurance - 12 hrs; Max. Range - 150 to 300 km; Canister launched and vertical take-off and landing (VTOL) variants[47][48],,,,,,,,,,,,,,,,,,,,
,,,,,,HAL Prachand,,India,Attack helicopter,,5[49],Status: In Service. 90 on order.[24],,,,,,,,,,,,,
,,,,,,Boeing AH-64 Apache,,United States,Attack helicopter,AH-64E,,Status: On Order. 6 are on order.[50] Total 17 Apaches are planned.[51],,,,,,,,,,,,,
,,,,,,HAL Rudra,,India,Attack helicopter,ALH-WSI,75[52][53],Status: In service.,,,,,,,,,,,,,
,,,,,,HAL Dhruv,,India,Utility helicopter,MK.l/MK.ll/MK.ll,70[53],Status: In service. 50 on order[53][54][55],,,,,,,,,,,,,
,,,,,,HAL Light Utility Helicopter,,India,Utility helicopter,,,Status: On Order.  6 are on order.[56] Total 110 LUH are planned.[57],,,,,,,,,,,,,
,,,,,,HAL Chetak,,India  France,Utility helicopter,,Collectively 190[58]–200[59][60],Status: In service (To be replaced by HAL Light Utility Helicopter).,,,,,,,,,,,,,
,,,,,,HAL Cheetah,,India  France,Utility helicopter,,Collectively 190[58]–200[59][60],Status: In service (To be replaced by HAL Light Utility Helicopter).,,,,,,,,,,,,,
,,,,,,IAI Heron,,Israel,Surveillance,Mk 1,>30[61],,Status: In service.,,,,,,,,,,,,
,,,,,,IAI Heron,,Israel,Surveillance,Mk 2,4[62][63],,Status: In service.,,,,,,,,,,,,
,,,,,,Adani Drishti-10 Starliner,,Israel India,Reconnaissance,,1,,Status: Grounded.[64] 1 on order. Derivative of Elbit Hermes 900 manufactured by Adani Defence.[65][66],,,,,,,,,,,,
,,,,,,General Atomics MQ-9,,United States,Surveillance/ Combat,MQ-9B SkyGuardian,,,Status: 8 on order. The final deal was signed on 15 October 2024.[67],,,,,,,,,,,,
,,,,,,IFT Switch,,India,Reconnaissance,Switch 1.0,200[68],,Status: In service.[69],,,,,,,,,,,,
,,,,,,IAI Searcher,,Israel,Reconnaissance,Mk 1/2,~20[63],,Status: In service.[70],,,,,,,,,,,,
,,,,,,NewSpace NIMBUS,,India,Swarm drones,Mk-III,75,,Status: In Service. Part of autonomous surveillance and armed drone swarm (A-SADS)[71][72],,,,,,,,,,,,
,,,,,,NewSpace BELUGA,,India,Swarm drones,,25,,Status: In Service. Part of autonomous surveillance and armed drone swarm (A-SADS)[71][72],,,,,,,,,,,,
,,,,,,Raphe mPhibr MR-20,,India,Cargo,,48,,Status: In service. Capacity: up to 20 kg. High availability at difficult locations.[73],,,,,,,,,,,,
,,,,,,EndureAir Sabal 20,,India,Logistics/Cargo,,,,"Status: In service. Capacity: 20 kg (half its own weight), Long range, Propulsion: Electric. Deployed in Eastern region with high-altitude, VTOL capability.[74]",,,,,,,,,,,,
,,,,,,Johnnette JF-2,,India,Surveillance,,,,Status: On order.[75],,,,,,,,,,,,
,,,,,,Asteria AT-15,,India,Surveillance,,,,"Status: Delivered VTOL, high altitude drone. Endurance: 20 km (12 mi) or 2 hours. Take-off altitude ceiling: 6,000 m (20,000 ft). MTOW: 8 kg (18 lb). Equipped with EO-IR payloads.[76][77]",,,,,,,,,,,,
,,,,,,Hoverbee,,India,Reconnaissance,,,,Status: Inducted. Purchased from Zulu Defence.[78],,,,,,,,,,,,
,,,,,,Solar Nagastra,,India,Loitering munition,Mk 1,480 units[79],Status: In Service.[80] Range~15 km (man-in-loop mode) and 30 km (autonomous mode).[81] First batch delivered.[80],,,,,,,,,,,,,
,,,,,,Rafael Firefly,,Israel,Loitering munition,,200 units[82],Status: In service.[83] 200 units Bought instead of rq-11.,,,,,,,,,,,,,
,,,,,,Elbit Skystriker,,Israel,Loitering munition,,100 units[84],Status: In Service. Made in India by Alpha Design and Elbit Systems joint venture with ToT.[85],,,,,,,,,,,,,
,,,,,,WBE Warmate,,Poland,Loitering munition,,100 units[86],Status: In Service.[87],,,,,,,,,,,,,
,,,,,,Johnnette JM-1 Loitering Munitions,,India,Loitering munition,,150,Status: Ordered[88],,,,,,,,,,,,,
,,,,,,DRAP,,India,Loitering munition,,,Status: In Service. Purchased from Zulu Defence.[78],,,,,,,,,,,,,
,,,,,,ALS-50,,India,Loitering munition,,100,Status: In Service. Procured from TASL for IAF.,,,,,,,,,,,,,
,,,,,,PHOLOS,,United Kingdom,Loitering munition,,,Status: In Service. Purchased from Overwatch Group.,,,,,,,,,,,,,
,,,,,,,,,,,,,,MiG-29,Russia,multirole,MiG-29K,40[89],7 KUB variants provide conversion training,,,,,,
,,,,,,,,,,,,,,Maritime patrol,Maritime patrol,Maritime patrol,Maritime patrol,Maritime patrol,Maritime patrol,,,,,,
,,,,,,,,,,,,,,Boeing P-8,United States,ASW / patrol,P-8I,12[90],,,,,,,
,,,,,,,,,,,,,,Dornier 228,Germany,surveillance,228-201[33],31[91][92],6 on order[92],,,,,,
,,,,,,,,,,,,,,Britten-Norman BN-2,United Kingdom,utility / patrol,BN-2B/2T[93],4[90],,,,,,,
,,,,,,,,,,,,,,Helicopters,Helicopters,Helicopters,Helicopters,Helicopters,Helicopters,,,,,,
,,,,,,,,,,,,,,HAL Dhruv,India,utility,Mk. I / Mk. III,24[90],,,,,,,
,,,,,,,,,,,,,,Kamov Ka-31,Russia,AEW,,14[90],employs a Planar array radar,,,,,,
,,,,,,,,,,,,,,Kamov Ka-27,Russia,ASW,Ka-28,14[90],,,,,,,
,,,,,,,,,,,,,,SH-60 Seahawk,United States,ASW / SAR,MH-60R,6[94],24 on order[95],,,,,,
,,,,,,,,,,,,,,Westland Sea King,United Kingdom,SAR / utility,Mk.42B/C[96],19[90][97][98],,,,,,,
,,,,,,,,,,,,,,HAL Chetak,France/India,liaison / utility,,42[90],,,,,,,
,,,,,,,,,,,,,,Trainer Aircraft,Trainer Aircraft,Trainer Aircraft,Trainer Aircraft,Trainer Aircraft,Trainer Aircraft,,,,,,
,,,,,,,,,,,,,,Pipistrel Virus,Slovenia,Ab initio trainer,,12[40],,,,,,,
,,,,,,,,,,,,,,BAE Hawk,United Kingdom,Jet trainer,Hawk 132,17[90],,,,,,,
,,,,,,,,,,,,,,HAL Kiran,India,Jet trainer,,20[90],,,,,,,
,,,,,,,,,,,,,,UAV,UAV,UAV,UAV,UAV,UAV,,,,,,
,,,,,,,,,,,,,,IAI Heron,Israel,Surveillance,Mk 1,~8,[99],,,,,,
,,,,,,,,,,,,,,MQ-9 Reaper,United States,Surveillance/ Combat,SeaGuardian,2[100],(On lease) 15 on order[45],,,,,,
,,,,,,,,,,,,,,Drishti-10,Israel/India,surveillance,,2[101][102],,,,,,,
,,,,,,,,,,,,,,,,,,,,Dornier 228,Germany,reconnaissance,101/201[33],36[103],2 on order[104]
,,,,,,,,,,,,,,,,,,,,Helicopters,Helicopters,Helicopters,Helicopters,Helicopters,Helicopters
,,,,,,,,,,,,,,,,,,,,HAL Dhruv,India,utility,Mk. I / Mk. III,4 / 15[105][106][107],9 Mk.III on order[108] 6 more planned[109][110]
,,,,,,,,,,,,,,,,,,,,HAL Chetak,France/India,utility,,17[111],
